ID	Lattitude	Longitude	Elevation	Bio_1_T_annual_mean	Bio_2_T_diurnal_range_mean	Bio_3_T_isothermality	Bio_4_T_seasonality	Bio_5_T_warmest_month_max	Bio_6_T_coldest_month_min	Bio_7_T_annual_range	Bio_8_T_wettest_quarter_mean	Bio_9_T_driest_quarter_mean	Bio_10_T_warmest_quarter_mean	Bio_11_T_coldest_quarter_mean	Bio_12_P_annual	Bio_13_P_wettest_month	Bio_14_P_driest_month	Bio_15_P_seasonality	Bio_16_P_wettest_quarter	Bio_17_P_driest_quarter	Bio_18_P_warmest_quarter	Bio_19_P_coldest_quarter	Cat.Lat_Long
ADN3.6	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
ADN3.7	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
ADN3.8	-32.292276	138.009018	359.1	168	134	48	5312	317	38	279	108	235	235	99	349	43	17	31	122	55	55	116	-32.292276_138.009018
Ald1.1	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
Ald1.2	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
Ald1.3	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
Ald1.4	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
Ald1.5	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
Ald1.6	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
Ald1.7	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
Ald1.8	38.39257	-3.41059	902.3	139	122	37	6859	333	7	326	91	232	232	58	520	68	7	45	186	41	41	164	38.39257_-3.41059
